fichero,etiqueta_real
58343,comp.sys.ibm.pc.hardware
58826,comp.sys.ibm.pc.hardware
58827,comp.sys.ibm.pc.hardware
58828,comp.sys.ibm.pc.hardware
58829,comp.sys.ibm.pc.hardware
58830,comp.sys.ibm.pc.hardware
58831,comp.sys.ibm.pc.hardware
58832,comp.sys.ibm.pc.hardware
58833,comp.sys.ibm.pc.hardware
58834,comp.sys.ibm.pc.hardware
58835,comp.sys.ibm.pc.hardware
58836,comp.sys.ibm.pc.hardware
58837,comp.sys.ibm.pc.hardware
58838,comp.sys.ibm.pc.hardware
58839,comp.sys.ibm.pc.hardware
58840,comp.sys.ibm.pc.hardware
58841,comp.sys.ibm.pc.hardware
58842,comp.sys.ibm.pc.hardware
58843,comp.sys.ibm.pc.hardware
58860,comp.sys.ibm.pc.hardware
58862,comp.sys.ibm.pc.hardware
58902,comp.sys.ibm.pc.hardware
58903,comp.sys.ibm.pc.hardware
58904,comp.sys.ibm.pc.hardware
58905,comp.sys.ibm.pc.hardware
58906,comp.sys.ibm.pc.hardware
58907,comp.sys.ibm.pc.hardware
58909,comp.sys.ibm.pc.hardware
58910,comp.sys.ibm.pc.hardware
58911,comp.sys.ibm.pc.hardware
58912,comp.sys.ibm.pc.hardware
58913,comp.sys.ibm.pc.hardware
58914,comp.sys.ibm.pc.hardware
58915,comp.sys.ibm.pc.hardware
58916,comp.sys.ibm.pc.hardware
58917,comp.sys.ibm.pc.hardware
58918,comp.sys.ibm.pc.hardware
58919,comp.sys.ibm.pc.hardware
58920,comp.sys.ibm.pc.hardware
58921,comp.sys.ibm.pc.hardware
58922,comp.sys.ibm.pc.hardware
58923,comp.sys.ibm.pc.hardware
58924,comp.sys.ibm.pc.hardware
58925,comp.sys.ibm.pc.hardware
58926,comp.sys.ibm.pc.hardware
58927,comp.sys.ibm.pc.hardware
58966,comp.sys.ibm.pc.hardware
58967,comp.sys.ibm.pc.hardware
58968,comp.sys.ibm.pc.hardware
58969,comp.sys.ibm.pc.hardware
58970,comp.sys.ibm.pc.hardware
58971,comp.sys.ibm.pc.hardware
58972,comp.sys.ibm.pc.hardware
58973,comp.sys.ibm.pc.hardware
58974,comp.sys.ibm.pc.hardware
58975,comp.sys.ibm.pc.hardware
58976,comp.sys.ibm.pc.hardware
58977,comp.sys.ibm.pc.hardware
58978,comp.sys.ibm.pc.hardware
58979,comp.sys.ibm.pc.hardware
58980,comp.sys.ibm.pc.hardware
58981,comp.sys.ibm.pc.hardware
58982,comp.sys.ibm.pc.hardware
58983,comp.sys.ibm.pc.hardware
58984,comp.sys.ibm.pc.hardware
58985,comp.sys.ibm.pc.hardware
58986,comp.sys.ibm.pc.hardware
58987,comp.sys.ibm.pc.hardware
58988,comp.sys.ibm.pc.hardware
58989,comp.sys.ibm.pc.hardware
58990,comp.sys.ibm.pc.hardware
58991,comp.sys.ibm.pc.hardware
58992,comp.sys.ibm.pc.hardware
58993,comp.sys.ibm.pc.hardware
58994,comp.sys.ibm.pc.hardware
58995,comp.sys.ibm.pc.hardware
58996,comp.sys.ibm.pc.hardware
58997,comp.sys.ibm.pc.hardware
58998,comp.sys.ibm.pc.hardware
58999,comp.sys.ibm.pc.hardware
59000,comp.sys.ibm.pc.hardware
59001,comp.sys.ibm.pc.hardware
59002,comp.sys.ibm.pc.hardware
59003,comp.sys.ibm.pc.hardware
59004,comp.sys.ibm.pc.hardware
60133,comp.sys.ibm.pc.hardware
60134,comp.sys.ibm.pc.hardware
60135,comp.sys.ibm.pc.hardware
60136,comp.sys.ibm.pc.hardware
60137,comp.sys.ibm.pc.hardware
60138,comp.sys.ibm.pc.hardware
60139,comp.sys.ibm.pc.hardware
60140,comp.sys.ibm.pc.hardware
60141,comp.sys.ibm.pc.hardware
60142,comp.sys.ibm.pc.hardware
60143,comp.sys.ibm.pc.hardware
60144,comp.sys.ibm.pc.hardware
60145,comp.sys.ibm.pc.hardware
60146,comp.sys.ibm.pc.hardware
60147,comp.sys.ibm.pc.hardware
60148,comp.sys.ibm.pc.hardware
